name,release_date,brand,width,height,thickness,screen_size,vertical_resolution,horizontal_resolution,charging_port,headphone_jack,microsd,wireless_charging,cores,clock_speed,processor_name,processor_brand,description,resolution,apature,position,camera_horizontal_resolution,camera_vertical_resolution
"Galaxy A40",2019-04-01,Samsung,144.3,69.1,7.9,5.9,2280,1080,USB-C,1,1,,8,1.8,"Samsung Exynos 7885",Samsung,"Main standard camera",16,f/1.7,back,,
"Galaxy A40",2019-04-01,Samsung,144.3,69.1,7.9,5.9,2280,1080,USB-C,1,1,,8,1.8,"Samsung Exynos 7885",Samsung,"Selfie camera",25,f/2.0,front,,
"Galaxy A40",2019-04-01,Samsung,144.3,69.1,7.9,5.9,2280,1080,USB-C,1,1,,8,1.8,"Samsung Exynos 7885",Samsung,"Ultrawide camera",5,f/2.2,back,,
"Galaxy A70",2019-05-01,Samsung,164.3,76.7,7.9,6.7,2400,1080,USB-C,1,1,,8,2,"Qualcomm Snapdragon 675",Qualcomm,"Selfie camera",32,f/2.0,front,,
"Galaxy A70",2019-05-01,Samsung,164.3,76.7,7.9,6.7,2400,1080,USB-C,1,1,,8,2,"Qualcomm Snapdragon 675",Qualcomm,"Depth sensor camera",5,f/2.2,back,,
"Galaxy A70",2019-05-01,Samsung,164.3,76.7,7.9,6.7,2400,1080,USB-C,1,1,,8,2,"Qualcomm Snapdragon 675",Qualcomm,"Ultrawide camera",8,f/2.2,back,,
"Galaxy A70",2019-05-01,Samsung,164.3,76.7,7.9,6.7,2400,1080,USB-C,1,1,,8,2,"Qualcomm Snapdragon 675",Qualcomm,"Main standard camera",32,f/1.7,back,3840,2160
"iPhone 13",2021-09-24,Apple,71.5,146.7,7.65,6.1,1170,2532,Lightning,,,1,6,,"A15 Bionic chip",Apple,"Standard main camera",12,f/1.6,back,,
"iPhone 13",2021-09-24,Apple,71.5,146.7,7.65,6.1,1170,2532,Lightning,,,1,6,,"A15 Bionic chip",Apple,"Ultrawide camera",12,f/2.4,back,,
"iPhone 13",2021-09-24,Apple,71.5,146.7,7.65,6.1,1170,2532,Lightning,,,1,6,,"A15 Bionic chip",Apple,"TrueDepth camera",12,f/2.2,back,,
"iPhone 13 Mini",2021-09-24,Apple,64.2,131.5,7.65,5.4,1080,2340,Lightning,,,1,6,,"A15 Bionic chip",Apple,"Standard main camera",12,f/1.6,back,,
"iPhone 13 Mini",2021-09-24,Apple,64.2,131.5,7.65,5.4,1080,2340,Lightning,,,1,6,,"A15 Bionic chip",Apple,"Ultrawide camera",12,f/2.4,back,,
"iPhone 13 Mini",2021-09-24,Apple,64.2,131.5,7.65,5.4,1080,2340,Lightning,,,1,6,,"A15 Bionic chip",Apple,"TrueDepth camera",12,f/2.2,back,,
"Mi 11",2020-12-28,Xiaomi,164.3,74.6,8.1,6.81,3200,1440,USB-C,,,1,8,2.8,"Qualcomm Snapdragon 888",Qualcomm,"Standard main camera",108,f/1.9,back,,
"Mi 11",2020-12-28,Xiaomi,164.3,74.6,8.1,6.81,3200,1440,USB-C,,,1,8,2.8,"Qualcomm Snapdragon 888",Qualcomm,"Ultrawide camera",13,f/2.4,back,,
"Mi 11",2020-12-28,Xiaomi,164.3,74.6,8.1,6.81,3200,1440,USB-C,,,1,8,2.8,"Qualcomm Snapdragon 888",Qualcomm,"Macro lense camera",5,f/2.4,back,,
"Mi 11",2020-12-28,Xiaomi,164.3,74.6,8.1,6.81,3200,1440,USB-C,,,1,8,2.8,"Qualcomm Snapdragon 888",Qualcomm,"Selfie camera",20,f/2.2,front,,
"Galaxy Note 20",2020-08-21,Samsung,161.6,75.2,8.3,6.7,2400,1080,USB-C,,,1,8,2.73,"Exynos 990",Samsung,"Selife camera",10,f/2.2,front,,
"Galaxy Note 20",2020-08-21,Samsung,161.6,75.2,8.3,6.7,2400,1080,USB-C,,,1,8,2.73,"Exynos 990",Samsung,"Ultrawide camera",12,f/2.2,back,,
"Galaxy Note 20",2020-08-21,Samsung,161.6,75.2,8.3,6.7,2400,1080,USB-C,,,1,8,2.73,"Exynos 990",Samsung,"Telephoto camera",64,f/2.0,back,,
"Galaxy Note 20",2020-08-21,Samsung,161.6,75.2,8.3,6.7,2400,1080,USB-C,,,1,8,2.73,"Exynos 990",Samsung,"Standard main camera",12,f/1.8,back,,
"iPhone 5",2012-09-21,Apple,123.8,58.6,7.6,4,1136,640,Lightning,1,,,2,1.3,"Apple A6",Apple,"Standard main camera",8,f/2.4,back,,
"iPhone 5",2012-09-21,Apple,123.8,58.6,7.6,4,1136,640,Lightning,1,,,2,1.3,"Apple A6",Apple,"Selfie camera",1,f/2.4,front,,
"Galaxy S4",2013-04-01,Samsung,136.6,69.8,7.9,5,1920,1080,"Micro USB",1,1,,8,1.6,"Exynos 5410",Samsung,"Standard main camera",13,f/2.2,back,,
"Galaxy S4",2013-04-01,Samsung,136.6,69.8,7.9,5,1920,1080,"Micro USB",1,1,,8,1.6,"Exynos 5410",Samsung,"Selife camera",2,f/2.4,front,,
"Nokia 3310",2000-09-01,Nokia,113,48,22,2.4,320,240,Proprietary,,,,1,0.13,"Texas Instruments MAD2WD1","Texas Instruments",,,,,
"Samsung Galaxy S10e",2019-03-08,Samsung,142.2,69.9,7.9,5.8,2280,1080,USB-C,1,1,,8,2.73,"Snapdragon 855",Qualcomm,"Standard main camera",12,f/2.4,back,,
"Samsung Galaxy S10e",2019-03-08,Samsung,142.2,69.9,7.9,5.8,2280,1080,USB-C,1,1,,8,2.73,"Snapdragon 855",Qualcomm,"Ultrawide camera",16,f/2.2,back,,
"Samsung Galaxy S10e",2019-03-08,Samsung,142.2,69.9,7.9,5.8,2280,1080,USB-C,1,1,,8,2.73,"Snapdragon 855",Qualcomm,"Selife camera",10,f/1.9,front,,
